ipad,iphone
guitar,lute
BMW,BENZ
eyebrow,beard
Grape,Raisins
sea_lion,seal
spider_man,batman
nike,adidas
milk,soy_milk
motorcycle,electromobile
tiger,lion
laptop,tablet
desktop,server
camera,webcam
macbook,chromebook
tesla,nissan
airplane,helicopter
train,tram
bicycle,scooter
skateboard,hoverboard
shoe,sneaker
shirt,hoodie
tie,scarf
hat,beanie
glove,mitten
watch,smartwatch
ring,bracelet
city,metropolis
village,settlement
ocean,sea
river,stream
mountain,volcano
forest,jungle
desert,steppe
valley,canyon
sun,star
moon,planet
comet,asteroid
blackhole,neutronstar
painting,sketch
statue,sculpture
novel,poem
song,anthem
dance,ballet
movie,documentary
game,puzzle
chocolate,candy
coffee,tea
burger,hotdog
pasta,ravioli
pizza,calzone
sushi,sashimi
steak,kebab
salad,sandwich
soup,stew
icecream,sorbet
cake,cupcake
microphone,speaker
headphone,earbud
keyboard,piano
flute,clarinet
